Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2022-23","Fall","AAEC","4994","Undergraduate Research","Alwang","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","80086","  1"
"2022-23","Fall","CHEM","3625","Physical Chemistry Laboratory","Orler","2.6","0","0","0","60","0","0","40","0","0","0","0","0","0","5","82851","  1"
"2022-23","Fall","CMST","3044","Oral Comm Center Practicum","Sowder","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","83047","  1"
"2022-23","Fall","COS","2164","Introduction to Scieneering","Watford","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","83172","  1"
"2022-23","Fall","CSES","3124","Soils Laboratory","Possinger","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","83508","  1"
"2022-23","Fall","EDCI","5844","STEM Education Seminar","Wells","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","84410","  1"
"2022-23","Fall","ENSC","3124","Soils Laboratory","Possinger","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","85069","  1"
"2022-23","Fall","GBCB","5004","Seminar in GBCB","Mukhopadhyay","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","85671","  1"
"2022-23","Fall","GRAD","5134","TS:Contemp Rsch Disaster Resil","Weiss","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","85947","  1"
"2022-23","Fall","IDS","3234","TS: Studio Collective","Pritchett","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","86382","  1"
"2022-23","Fall","MATH","2644","Mathematics Tutoring","Silber","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","87184","  1"
"2022-23","Fall","MSE","4424","Materials Laboratory II","Suchicital","2.6","20","0","20","0","0","0","40","20","0","0","0","0","0","5","88122","  1"
"2022-23","Fall","MUS","3314","Instrumental Ensemble Music","Irrera","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88257","  1"
"2022-23","Fall","PHYS","2215","General Physics Laboratory","Merritt","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","5","88815","  1"
"2022-23","Fall","PHYS","2215","General Physics Laboratory","Merritt","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88821","  1"
"2022-23","Fall","PPWS","5214","Diseases of Crop Plants","Baudoin","3.42","0","60","20","0","20","0","0","0","0","0","0","0","0","5","89219","  1"
"2022-23","Fall","TA","3014","Theatre Production Lab","Copenhaver","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90026","  1"
"2022-23","Fall","TA","3014","Theatre Production Lab","Copenhaver","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90028","  1"
"2022-23","Fall","TA","3014","Theatre Production Lab","Copenhaver","2.66","40","0","0","0","0","40","0","0","0","0","20","0","0","5","90029","  1"
"2022-23","Fall","TA","3014","Theatre Production Lab","Holland","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90038","  1"
"2022-23","Fall","TA","3014","Theatre Production Lab","Copenhaver","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90039","  1"
"2022-23","Fall","UAP","5114","TS: Cost-Benefit Analysis","Wernstedt","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","91856","  1"
