name,description
209 Marketplace,"More than sixty percent of students at Virginia Tech receive financial aid each year (with seven thousand dollars as the average amount of aid received per year). This financial aid often goes straight towards school expenses such as tuition and textbooks leaving no extra funding for food and other supplies.

Located inside Wesley at Virginia Tech at 209 W. Roanoke St., 209 Marketplace is a pantry that provides food, toiletries, and school supplies for college students and their families. Anyone who feels as if they are lacking food and necessities may apply to shop at 209 Marketplace. Shopping is based on a point system in which each good is worth a certain amount of points, ranging from 1 to 6 points, and each shopper is allowed 50 points to shop with each week.

Store hours are currently every Monday and Thursday evening from 4:30 pm to 6:30 pm with our partners of Wesley, APO, and NLCF. Please contact us at 209marketplaceatvt@gmail.com with any questions or concerns. "
3304 Sports,"3304 Sports is the multimedia home for online sports journalism at Virginia Tech. We give students who are interested in broadcasting, writing or podcasting about sports the opportunity to get real-world experience covering VT Athletics. Our organization allows students to cover all sports at Virginia Tech as beat-writers, play-by-play broadcasters, podcasters, studio hosts, reporters and more to give you experience that you can use to enter the industry after graduation."
4-H Collegiate Club,"4-H is delivered by Cooperative Extension and is the largest youth development organization in the US. 4-H Collegiate Club at Virginia Tech strives to foster an environment that promotes service, leadership and professional development, and community. It is the club's mission to provide resources as well as community to those interested in service, as well as careers with Cooperative Extension and youth development. The club organizes community service events, hosts speakers with backgrounds in Cooperative Extension, and provides activities that allow students to feel seen and heard during their time here at Virginia Tech."
4X Strategy Games Club,"Our organization is a community for gamers who like slow-paced 4x games, like Civ 5, Civ 6, Eu4, HOI4, HumanKind, etc. We have tons of plans for this club including tournaments and occasional gaming sessions among members. We hope to build the foundations for this club to last. "
Academic Advising Initiatives,"Our team is tasked with providing support, new ideas, and professional development opportunities for the advising community at-large. Each individual on the team helps support academic advising at Virginia Tech, whether it is through advising technology, such as Navigate, working to bridge the gap between Virginia Community Colleges and VT to assist our transfer students, or increasing professional development opportunities for advisors."
Accessible Technologies,Thank you for your interest in the AT Student Club! Please find more information about our accessibility campaigns and free software resources for students on our Accessible Technologies Website (Student Software Resources).
Accounting Society at Virginia Tech,"The Accounting Society is a student-run organization that strives to develop the future career skills of Pamplin students by helping them build a professional network, providing a forum for leading, cultivating awareness of the accounting profession, and offering leadership opportunities."
Active Minds at Virginia Tech,"Active Minds at Virginia Tech is a chapter of the nation's leading nonprofit organization, Active Minds. This student-led group works to increase awareness about mental health issues and actively create change in the Virginia Tech community. "
Actuarial Science Club at Virginia Tech,"Newly created club to help students pursue a career in actuarial science through studying for exams, exploring career paths, and establishing connections with current actuarial professionals. Feel free to reach out about joining, all students are welcome."
AdvanceVT,"The mission of AdvanceVT is to assist Virginia Tech in preparing, recruiting, and retaining high quality and diverse faculty. To accomplish this mission, our programs are designed to facilitate success in scholarship, teaching, engagement and administration for a wide range of audiences. These programs target graduate students preparing for faculty careers, new faculty just starting out, senior faculty preparing for leadership roles, search committees, department heads, and senior administrators. AdvanceVT began in 2003 with a grant from the National Science Foundation to promote and enhance the careers of women in academic science and engineering through institutional transformation. Grant funding continued until August 2010. High impact initiatives continue with support from university partners, and have been expanded to include faculty in all disciplines."
Adventist Christian Fellowship,Welcome to Adventist Christian Fellowship
