Course Code,Title,Description
C21S 2974,- Independent Study,No description available
C21S 2974H,- Independent Study,Honors
C21S 2984,- Special Study,No description available
C21S 3954,- Study Abroad,No description available
C21S 4004,- Capstone Seminar,"Capstone research/project seminar for the minor in C21S. Research skills, engagement with the most recent scholarship and other cultural responses to 21st century issues, presentation, and dissemination. Pre: 3954 with at least a C grade."
C21S 4754,- Internship,No description available
C21S 4974,- Independent Study,No description available
C21S 4974H,- Independent Study,Honors
C21S 4984,- Special Study,No description available
ACIS 1004,- Accounting Foundations,"Fundamentals of accounting, the language of business, including what accounting information is, how it is developed, how it is used and what it means.  Financial Accounting including the application of accounting principles for real world, complex business transactions to classify these transactions, reflect their economic value, produce basic financial statements, evaluate financial position and make fundamental interpretations. Managerial Accounting including cost behaviors, budgeting and other management reporting to assist in internal decision making and performance analysis.  Attention to accountants codes of ethics applied throughout.  Emphasis placed on non-Business majors becoming informed users of accounting information.  No credit will be given forACIS 1004if taken with or afterACIS 2115orACIS 2116."
ACIS 1104,- Careers in Accounting and Information Systems,Overview of career options in the accounting field. Real life perspective from industry expert guest speakers. Career skills and training requirements. Job search strategies. Job search strategies. Job market analysis. Effective professional materials creation. Pass/Fail only.
ACIS 1504,- Introduction to Business Analytics  and  Business Intelligence,"Foundational data analytics using Microsoft Excel. Utilizes the data analytics framework and many Excel functions to address various business problems. Introduction to big datasets, how to navigate them, and the many complexities of using them, including relevant ethical issues. Identification and construction of various data visualizations and charts to be used in presentations."
ACIS 1984,- Special Study,No description available
ACIS 2024,- Small Business Accounting,"Accounting to support starting and operating a small business. Includes setting up accounting records, creating budgets, pricing products and services, tracking revenues and expenses, planning for taxes, and accounting for borrowing, inventory, payroll, and long-term assets. Emphasis on performance evaluation using mathematical models including financial statements, budget variance models, and financial ratios. Accounting presented in compliance with Generally Accepted Accounting Principles (GAAP) and accountant’s codes of ethics to support the prevention and detection of fraud."
ACIS 2115,- Principles of Accounting,"Introduction to financial and managerial accounting. 2115: Emphasis on the financial accounting cycle. Discusses accounting information uses, fraud, and internal controls. Analysis of financial statement elements: assets, liabilities, stockholders’ equity, revenues, and expenses. 2116: Emphasis on budgeting and accounting information decision-making. Discusses management accounting and cost concepts. Use of job order costing and cost value profit relationships. Use of variable costing and segment reporting. Create external financial reporting documents."
ACIS 2116,- Principles of Accounting,"Introduction to financial and managerial accounting. 2115: Emphasis on the financial accounting cycle. Discusses accounting information uses, fraud, and internal controls. Analysis of financial statement elements: assets, liabilities, stockholders’ equity, revenues, and expenses. 2116: Emphasis on budgeting and accounting information decision-making. Discusses management accounting and cost concepts. Use of job order costing and cost value profit relationships. Use of variable costing and segment reporting. Create external financial reporting documents."
ACIS 2124,- Nonprofit Accounting and Financial Management,"Accounting to support nonprofit companies.  Includes, setting up nonprofit accounting records, identifying internal controls, and tax considerations. Nonprofit tracking revenues and expenses, grants, borrowing, payroll, and long-term assets.  Emphasis on nonprofit performance evaluation using mathematical models including financial statements, budget variance models, and financial ratios. Use of ethical framework decision-making.  Evaluation of government funding sources. No credit will be given forACIS 2124if taken with or afterACIS 4124."
ACIS 2504,- Introduction to Accounting Analytics,"Design and creation of models used to perform accounting analytics. Cleansing, transformation, organization, analysis, and reporting of accounting data using analytics tools such as spreadsheets, programming, and accounting software applications. Display of accounting data using visualization techniques."
ACIS 2954,- Business Study Abroad,This course provides students with an international business experience. The course examines the accounting and information systems issues that impact the multinational business. It is only offered as part of a program outside of the United States. Students will learn from the structured educational experience developed by the faculty leader. Content will vary between semesters. Pre: Instructors consent and the completion of 24 semester hours with a minimum GPA of 3.0 or departmental consent. May be repeated for a maximum of 9 credit hours.
ACIS 3115,- Intermediate Financial Accounting,"Intermediate financial accounting. 3115: In-depth analysis of basic concepts of external financial reporting. Includes asset and related transaction analysis and preparation of financial statements in accordance with generally accepted accounting principles. Discusses the historical development accounting theory and practice as well as discussion and exploration of international accounting standards and ongoing and potential developments in accounting practice. 3116: In-depth analysis of liability, equity, and tax related transactions and their subsequent impacts on financial reporting. Interpret financial accounting standards including requirements to adjust financial statements due to errors and corrections. Prepare the statement of cash flows in accordance with generally accepted accounting principles. Course credit will not be awarded for bothACIS 3115andACIS 4194."
ACIS 3116,- Intermediate Financial Accounting,"Intermediate financial accounting. 3115: In-depth analysis of basic concepts of external financial reporting. Includes asset and related transaction analysis and preparation of financial statements in accordance with generally accepted accounting principles. Discusses the historical development accounting theory and practice as well as discussion and exploration of international accounting standards and ongoing and potential developments in accounting practice. 3116: In-depth analysis of liability, equity, and tax related transactions and their subsequent impacts on financial reporting. Interpret financial accounting standards including requirements to adjust financial statements due to errors and corrections. Prepare the statement of cash flows in accordance with generally accepted accounting principles. Course credit will not be awarded for bothACIS 3115andACIS 4194."
ACIS 3314,- Tax Impact on Decisions,"Introduction to federal taxation for individuals and business entities with an emphasis on effective tax planning strategies. IRS tax compliance and discussion of other tax authorities. Individual tax overview includes filing status, gross income, exclusions, and deductions. Business tax overview includes business entity types, filing requirements, business income, deductions, accounting methods, property acquisitions, cost recovery, and property dispositions. Properly classify corporate operations to compute corporate taxable income."
ACIS 3504,- Accounting Systems and Controls,Examines system design concepts and methods including an understanding of basic control structures.  Covers specific accounting cycles and computerized transaction processing systems.  Analyzes controls for manual and computerized systems including database systems.
ACIS 3554,"- Networks, Telecommunications and Security","Provides an introduction to computer networks and data communications in business. Topics include mechanisms for reliable data transfer, network topologies and technologies, and a comprehensive treatment of inter-networking. Additional topics include packet switching, and cloud, edge, and advanced networking. Security issues related to using computer networks are discussed, along with network design issues, and methodologies for network applications. Duplicates BIT 4554."
ACIS 3954,- Study Abroad,No description available
ACIS 4024,- Information Systems Audit and Control,"An introduction to the fundamentals of information systems auditing and controls. Emphasis on information systems controls and general application controls. Employment of computer assisted audit tools, techniques, and reporting languages. Implementation of different types of audit approaches including on line and continuous auditing as well as fraud and forensic auditing. Exposure to risk assessment, system-based guidelines, and professional standards in the field of information systems auditing. Examination of the implementation and deployment of information systems."
ACIS 4114,- Advanced Financial Accounting,"Detailed analysis of external financial reporting. Study of debt and equity investments, derivatives, and foreign currency. Proper application of Securities and Exchange Commission reporting regulations."
ACIS 4124,- Governmental and Nonprofit Accounting,"Detailed analysis of U.S. state and local governmental, nonprofit, and federal accounting. Focus on entity characteristics, regulatory environment, fund accounting, financial transactions, and financial statements."
ACIS 4194,- Analysis of Financial Statements,"Analysis of financial statements including how to interpret and assess a company’s results of operations, financial condition, and cash flows. Construction and use of financial ratios for use in various contexts. Development of reports comparing financial performance across companies and over time to aid in evaluating investments in companies’ debt or equity. Course credit will not be awarded for bothACIS 3115andACIS 4194."
ACIS 4214,- Cost Planning and Control,"The purpose of this course is to help the student develop an understanding of the role of accounting in the management process, an understanding of cost accounting systems, an understanding of cost behavior, an understanding of alternative accounting systems, and the usefulness of costs involved in non-routine decision-making."
ACIS 4344,- Tax for Financial Planners,"Overviews income tax concepts relevant to financial planning for individuals who are investors, employees, and business owners.  Topics include income tax fundamentals for individuals, taxation of the sale of property, taxation of business entities, taxation of trusts, and overview of the federal transfer tax on estates and gifts.  Duplicates some material in ACIS 4314.  Course credit will not be awarded for both ACIS 4314 andACIS 4344."
ACIS 4364,- Taxation of Business Operations,"Introduction to the tax issues for various operating models. Analysis from a tax perspective of formation, operation, distribution of earnings, business unit acquisitions and divestitures, and liquidation. Entity types discussed include partnerships, S Corporations, regular (C) Corporations and not for profit entities. Emphasis on how to report tax results to the applicable government(s) as well as the GAAP accounting of the tax results. Initial exposure to multistate taxation, the U.S. taxation of non-US activities, and estate and gift taxation."
ACIS 4414,- Financial Statement Auditing,"Study of external financial statement auditing, professional code of conduct, audit evidence considerations, internal control, fraud, and transaction cycles, and audit reporting."
ACIS 4444,- Forensic Accounting,"This course provides students experience in forensic accounting, commonly used computer forensic software, forensic techniques, litigation support, fraud risk management, fraud investigation, and the related audit tools."
ACIS 4454,- Artificial Intelligence in Accounting and Auditing,"An introduction to Artificial Intelligence to address real-world problems in accounting and auditing. Receive hands-on experience applying AI tools and processes used in auditing and assurance through class discussions, case analyses, and projects. Topics covered include the application of AI tools for analysis of financial data and internal controls. Obtain a base level understanding of how to use AI in audit and business settings, how to evaluate the impact of AI use on audit quality, and how client use of AI impacts audit risk. Overview of client confidentiality, ethics, opportunities, limitations, and challenges associated with the use of AI in auditing settings."
