VCCS Course Number,VCCS Course Title,VCCS Credits,VT Course Number,VT Course Title,VT Credits,Comments

ACC 105	OFFICE ACCOUNTING	3	BUS 1XXX	BUSINESS ELECTIVE	3	
ACC 111	ACCOUNTING I	3-4	BUS 1XXX	BUSINESS ELECTIVE	3-4	
ACC 112	ACCOUNTING II	3-4	BUS 1XXX	BUSINESS ELECTIVE	3-4	
ACC 115	APPLIED ACCOUNTING	3-4	BUS 1XXX	BUSINESS ELECTIVE	3-4	
ACC 117	ESSENTIALS OF ACCOUNTING	3	BUS 1XXX	BUSINESS ELECTIVE	3	
ACC 124	PAYROLL ACCOUNTING	2-3	BUS 1XXX	BUSINESS ELECTIVE	2-3	
ACC 134	SMALL BUSINESS TAXES	2-3	BUS 1XXX	BUSINESS ELECTIVE	2-3	
ACC 211	PRINCIPLES OF ACCOUNTING I	3	ACIS 2115	PRINCIPLES OF ACCOUNTING	3	
ACC 212	PRINCIPLES OF ACCOUNTING II	3	ACIS 2116	PRINCIPLES OF ACCOUNTING	3	
ACC 213	PRINCIPLES OF ACCOUNTING LAB I	1	BUS 2XXX	BUSINESS ELECTIVE	1	
ACC 214	PRINCIPLES OF ACCOUNTING LAB II	1	BUS 2XXX	BUSINESS ELECTIVE	1	
ACC 215	COMPUTERIZED ACCOUNTING	3-4	BUS 2XXX	BUSINESS ELECTIVE	3-4	
ACC 216	INVENTORY, RECEIVABLE, AND PAYABLE ACCOUNTING	2	BUS 2XXX	BUSINESS ELECTIVE	2	
ACC 217	ANALYZING FINANCIAL STATEMENTS	3	BUS 2XXX	BUSINESS ELECTIVE	3	
ACC 219	GOVERNMENT AND NONPROFIT ACCOUNTING	3	BUS 2XXX	BUSINESS ELECTIVE	3	
ACC 220	ACCOUNTING FOR SMALL BUSINESS	3	BUS 2XXX	BUSINESS ELECTIVE	3	
ACC 222	INTERMEDIATE ACCOUNTING II	3-4	BUS 2XXX	BUSINESS ELECTIVE	3-4	
ACC 230	ADVANCED ACCOUNTING	3	BUS 2XXX	BUSINESS ELECTIVE	3	
ACC 231	COST ACCOUNTING I	3-4	BUS 2XXX	BUSINESS ELECTIVE	3-4	
ACC 232	COST ACCOUNTING II	3	BUS 2XXX	BUSINESS ELECTIVE	3	
ACC 240	FRAUD EXAMINATION	3	BUS 2XXX	BUSINESS ELECTIVE	3	
ACC 241	AUDITING I	3	BUS 2XXX	BUSINESS ELECTIVE	3	
ACC 261	PRINCIPLES OF FEDERAL TAXATION I	3	BUS 2XXX	BUSINESS ELECTIVE	3	
ACC 262	PRINCIPLES OF FEDERAL TAXATION II	3	BUS 2XXX	BUSINESS ELECTIVE	3	
ACC 263	DATA ANALYTICS AND STATS IN ACCOUNTING	3	BUS 2XXX	BUSINESS ELECTIVE	3	
ACC 264	THE ROLE OF ACCOUNTING IN BUSINESS AND SOCIETY	3	BUS 2XXX	BUSINESS ELECTIVE	3	
ADJ 100	SURVEY OF CRIMINAL JUSTICE	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 105	THE JUVENILE JUSTICE SYSTEM	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 107	SURVEY OF CRIMINOLOGY	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 110	INTRODUCTION TO LAW ENFORCEMENT	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 111	LAW ENFORCEMENT ORGANIZATION & ADMINISTRATION I	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 112	LAW ENFORCEMENT ORGANIZATION & ADMINISTRATION II	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 118	CRISIS INTERVENTION AND CRITICAL ISSUES	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 120	INTRODUCTION TO COURTS	3	PCSI 1XXX	POLITICAL SCIENCE ELECTIVE	3	
ADJ 130	INTRODUCTION TO CRIMINAL LAW	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 133	ETHICS AND THE CRIMINAL JUSTICE PROFESSIONAL	3	PHIL 1XXX	PHILOSOPHY ELECTIVE	3	
ADJ 140	INTRODUCTION TO CORRECTIONS	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 145	CORRECTIONS AND THE COMMUNITY	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 146	ADULT CORRECTIONAL INSTITUTIONS	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 161	INTRODUCTION TO COMPUTER CRIME	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 163	CRIME ANALYSIS AND INTELLIGENCE	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 170	STREET GANGS AND LAW ENFORCEMENT	3	CRIM 1XXX	CRIMINOLOGY ELECTIVE	3	
ADJ 201	CRIMINOLOGY	3	SOC 2404	DEVIANT BEHAVIOR	3	
